priogrid_gid,pg_xcoord__old,pg_ycoord__old,country_iso_a3__old,admin1_gaul1_code__old,admin1_gaul1_name__old,admin1_gaul0_code__old,admin1_gaul0_name__old,admin2_gaul2_code__old,admin2_gaul2_name__old,pg_xcoord__new,pg_ycoord__new,country_iso_a3__new,admin1_gaul1_code__new,admin1_gaul1_name__new,admin1_gaul0_code__new,admin1_gaul0_name__new,admin2_gaul2_code__new,admin2_gaul2_name__new,presence,change_class
122837,38.25,-4.75,TZA,1709.0,Tanga,166.0,United Republic of Tanzania,106525.0,Lushoto,38.25,-4.75,TZA,1709.0,Tanga,166.0,United Republic of Tanzania,106525.0,Lushoto,both,identical
122838,38.75,-4.75,TZA,1709.0,Tanga,166.0,United Republic of Tanzania,106526.0,Mkinga,38.75,-4.75,TZA,1709.0,Tanga,166.0,United Republic of Tanzania,106526.0,Mkinga,both,identical
122839,39.25,-4.75,TZA,1709.0,Tanga,166.0,United Republic of Tanzania,106526.0,Mkinga,39.25,-4.75,TZA,1709.0,Tanga,166.0,United Republic of Tanzania,106526.0,Mkinga,both,identical
122840,39.75,-4.75,TZA,1685.0,Kaskazini Pemba,166.0,United Republic of Tanzania,106413.0,Micheweni,39.75,-4.75,TZA,1685.0,Kaskazini Pemba,166.0,United Republic of Tanzania,106413.0,Micheweni,both,identical
122871,55.25,-4.75,SYC,1581.0,Mahe,156.0,Seychelles,105517.0,West Mahe,55.25,-4.75,SYC,1581.0,Mahe,156.0,Seychelles,105517.0,West Mahe,both,identical
122872,55.75,-4.75,SYC,1581.0,Mahe,156.0,Seychelles,105515.0,East Mahe,55.75,-4.75,SYC,1581.0,Mahe,156.0,Seychelles,105515.0,East Mahe,both,identical
123503,11.25,-4.25,COG,1190.0,Kouilou,116.0,Congo,102199.0,Nzambi,11.25,-4.25,COG,1190.0,Kouilou,116.0,Congo,102199.0,Nzambi,both,identical
123504,11.75,-4.25,COG,1190.0,Kouilou,116.0,Congo,102197.0,Madingo-Kayes,11.75,-4.25,COG,1190.0,Kouilou,116.0,Congo,102197.0,Madingo-Kayes,both,identical
123505,12.25,-4.25,COG,1190.0,Kouilou,116.0,Congo,102198.0,Mvouti,12.25,-4.25,COG,1190.0,Kouilou,116.0,Congo,102198.0,Mvouti,both,identical
123506,12.75,-4.25,COG,1193.0,Niari,116.0,Congo,102218.0,Louvakou,12.75,-4.25,COG,1193.0,Niari,116.0,Congo,102218.0,Louvakou,both,identical
123507,13.25,-4.25,COG,1186.0,Bouenza,116.0,Congo,102176.0,Nkayi,13.25,-4.25,COG,1186.0,Bouenza,116.0,Congo,102176.0,Nkayi,both,identical
