priogrid_gid,pg_xcoord__old,pg_ycoord__old,country_iso_a3__old,admin1_gaul1_code__old,admin1_gaul1_name__old,admin1_gaul0_code__old,admin1_gaul0_name__old,admin2_gaul2_code__old,admin2_gaul2_name__old,pg_xcoord__new,pg_ycoord__new,country_iso_a3__new,admin1_gaul1_code__new,admin1_gaul1_name__new,admin1_gaul0_code__new,admin1_gaul0_name__new,admin2_gaul2_code__new,admin2_gaul2_name__new,presence,change_class
124987,33.25,-3.25,TZA,1699.0,Mwanza,166.0,United Republic of Tanzania,106473.0,Kwimba,33.25,-3.25,TZA,1699.0,Mwanza,166.0,United Republic of Tanzania,106473.0,Kwimba,both,identical
124988,33.75,-3.25,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106504.0,Maswa,33.75,-3.25,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106504.0,Maswa,both,identical
124989,34.25,-3.25,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106505.0,Meatu,34.25,-3.25,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106505.0,Meatu,both,identical
124990,34.75,-3.25,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106505.0,Meatu,34.75,-3.25,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106505.0,Meatu,both,identical
124991,35.25,-3.25,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106385.0,Ngorongoro,35.25,-3.25,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106385.0,Ngorongoro,both,identical
124992,35.75,-3.25,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106385.0,Ngorongoro,35.75,-3.25,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106385.0,Ngorongoro,both,identical
124993,36.25,-3.25,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106384.0,Monduli,36.25,-3.25,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106384.0,Monduli,both,identical
124994,36.75,-3.25,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106380.0,Arumeru,36.75,-3.25,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106380.0,Arumeru,both,identical
124995,37.25,-3.25,TZA,1689.0,Kilimanjaro,166.0,United Republic of Tanzania,106426.0,Hai,37.25,-3.25,TZA,1689.0,Kilimanjaro,166.0,United Republic of Tanzania,106426.0,Hai,both,identical
124996,37.75,-3.25,KEN,1391.0,Taita Taveta,137.0,Kenya,103777.0,Taveta,37.75,-3.25,KEN,1391.0,Taita Taveta,137.0,Kenya,103777.0,Taveta,both,identical
124997,38.25,-3.25,KEN,1391.0,Taita Taveta,137.0,Kenya,103777.0,Taveta,38.25,-3.25,KEN,1391.0,Taita Taveta,137.0,Kenya,103777.0,Taveta,both,identical
124998,38.75,-3.25,KEN,1391.0,Taita Taveta,137.0,Kenya,103778.0,Voi,38.75,-3.25,KEN,1391.0,Taita Taveta,137.0,Kenya,103778.0,Voi,both,identical
124999,39.25,-3.25,KEN,1366.0,Kilifi,137.0,Kenya,103618.0,Magarini,39.25,-3.25,KEN,1366.0,Kilifi,137.0,Kenya,103618.0,Magarini,both,identical
125000,39.75,-3.25,KEN,1366.0,Kilifi,137.0,Kenya,103618.0,Magarini,39.75,-3.25,KEN,1366.0,Kilifi,137.0,Kenya,103618.0,Magarini,both,identical
125001,40.25,-3.25,KEN,1366.0,Kilifi,137.0,Kenya,103618.0,Magarini,40.25,-3.25,KEN,1366.0,Kilifi,137.0,Kenya,103618.0,Magarini,both,identical
125660,9.75,-2.75,GAB,1311.0,Ogooue-Maritime,127.0,Gabon,103179.0,Ndougou,9.75,-2.75,GAB,1311.0,Ogooue-Maritime,127.0,Gabon,103179.0,Ndougou,both,identical
125661,10.25,-2.75,GAB,1308.0,Nyanga,127.0,Gabon,103163.0,Basse-Banio,10.25,-2.75,GAB,1308.0,Nyanga,127.0,Gabon,103163.0,Basse-Banio,both,identical
125662,10.75,-2.75,GAB,1308.0,Nyanga,127.0,Gabon,103168.0,Mougoutsi,10.75,-2.75,GAB,1308.0,Nyanga,127.0,Gabon,103168.0,Mougoutsi,both,identical
125663,11.25,-2.75,GAB,1308.0,Nyanga,127.0,Gabon,103165.0,Doutsila,11.25,-2.75,GAB,1308.0,Nyanga,127.0,Gabon,103165.0,Doutsila,both,identical
125664,11.75,-2.75,COG,1193.0,Niari,116.0,Congo,102225.0,Nyanga,11.75,-2.75,COG,1193.0,Niari,116.0,Congo,102225.0,Nyanga,both,identical
125665,12.25,-2.75,COG,1193.0,Niari,116.0,Congo,102214.0,Divenie,12.25,-2.75,COG,1193.0,Niari,116.0,Congo,102214.0,Divenie,both,identical
125666,12.75,-2.75,COG,1193.0,Niari,116.0,Congo,102223.0,Moungoundou-Sud,12.75,-2.75,COG,1193.0,Niari,116.0,Congo,102223.0,Moungoundou-Sud,both,identical
125667,13.25,-2.75,COG,1191.0,Lekoumou,116.0,Congo,102202.0,Komono,13.25,-2.75,COG,1191.0,Lekoumou,116.0,Congo,102202.0,Komono,both,identical
125668,13.75,-2.75,COG,1191.0,Lekoumou,116.0,Congo,102205.0,Zanaga,13.75,-2.75,COG,1191.0,Lekoumou,116.0,Congo,102205.0,Zanaga,both,identical
125669,14.25,-2.75,COG,1194.0,Plateaux,116.0,Congo,102205.0,Zanaga,14.25,-2.75,COG,1191.0,Lekoumou,116.0,Congo,102205.0,Zanaga,both,admin_reallocation
125670,14.75,-2.75,COG,1194.0,Plateaux,116.0,Congo,102229.0,Djambala,14.75,-2.75,COG,1194.0,Plateaux,116.0,Congo,102229.0,Djambala,both,identical
